sku,clase_abc,cv,clase_xyz,celda
ZW-TEE-001,A,0.0765,X,AX
ZW-DEN-001,A,0.0817,X,AX
ZW-SAS-002,A,0.0759,X,AX
ZW-TEE-002,A,0.2952,Y,AY
ZW-VES-002,A,0.3873,Y,AY
ZW-DEN-002,A,0.3670,Y,AY
ZW-ACC-004,B,0.1228,X,BX
ZW-VES-001,B,0.7244,Z,BZ
ZW-ACC-001,B,0.1007,X,BX
ZW-SAS-001,B,0.3551,Y,BY
ZW-TEE-003,B,0.1369,X,BX
ZW-VES-003,B,0.6419,Z,BZ
ZW-CAZ-002,B,0.7666,Z,BZ
ZW-CAZ-001,B,0.5176,Z,BZ
ZW-PUN-001,C,0.2774,Y,CY
ZW-ACC-002,C,0.2489,X,CX
ZW-ACC-003,C,0.5491,Z,CZ
ZW-PUN-002,C,0.6732,Z,CZ
ZW-DEN-003,C,0.6898,Z,CZ
ZW-SAS-003,C,0.5302,Z,CZ
