sku,media_mensual,desv_tipica,cv,clase_xyz
ZW-TEE-001,5000.00,382.36,0.0765,X
ZW-TEE-002,1000.00,295.19,0.2952,Y
ZW-TEE-003,250.00,34.23,0.1369,X
ZW-DEN-001,1666.67,136.13,0.0817,X
ZW-DEN-002,666.67,244.69,0.3670,Y
ZW-DEN-003,83.33,57.48,0.6898,Z
ZW-SAS-001,58.33,20.71,0.3551,Y
ZW-SAS-002,750.00,56.94,0.0759,X
ZW-SAS-003,41.67,22.09,0.5302,Z
ZW-VES-001,125.00,90.55,0.7244,Z
ZW-VES-002,500.00,193.67,0.3873,Y
ZW-VES-003,66.67,42.79,0.6419,Z
ZW-ACC-001,250.00,25.17,0.1007,X
ZW-ACC-002,100.00,24.89,0.2489,X
ZW-ACC-003,166.67,91.52,0.5491,Z
ZW-PUN-001,125.00,34.68,0.2774,Y
ZW-PUN-002,66.67,44.88,0.6732,Z
ZW-CAZ-001,75.00,38.82,0.5176,Z
ZW-CAZ-002,50.00,38.33,0.7666,Z
ZW-ACC-004,333.33,40.94,0.1228,X
